#,Set,Cue,Location,Descrip,Item
1,A,Cued,Above,HighFQ,window
2,A,Cued,Above,HighFQ,forest 
3,A,Cued,Above,HighFQ,island 
4,A,Cued,Above,HighFQ,mouth 
5,A,Cued,Above,HighFQ,bread 
6,A,Cued,Above,HighFQ,key 
7,A,Cued,Above,HighFQ,cotton 
8,A,Cued,Above,HighFQ,teeth 
9,A,Cued,Above,HighFQ,engine 
10,A,Cued,Above,HighFQ,floor 
11,A,Cued,Above,HighFQ,palace 
12,A,Cued,Above,HighFQ,animals 
13,A,Cued,Above,HighFQ,teacher 
14,A,Cued,Above,HighFQ,village 
15,A,Cued,Above,HighFQ,birds 
16,A,Cued,Above,HighFQ,chicken 
17,A,Cued,Above,LowFQ,robots 
18,A,Cued,Above,LowFQ,sable 
19,A,Cued,Above,LowFQ,pelvis 
20,A,Cued,Above,LowFQ,icicle 
21,A,Cued,Above,LowFQ,cloak 
22,A,Cued,Above,LowFQ,lobster 
23,A,Cued,Above,LowFQ,jewels 
24,A,Cued,Above,LowFQ,trestle 
25,A,Cued,Above,LowFQ,gazelle 
26,A,Cued,Above,LowFQ,skates 
27,A,Cued,Above,LowFQ,lava 
28,A,Cued,Above,LowFQ,melon 
29,A,Cued,Above,LowFQ,scallop 
30,A,Cued,Above,LowFQ,beggar 
31,A,Cued,Above,LowFQ,navel 
32,A,Cued,Above,LowFQ,malt 
33,A,Cued,Above,Nonword,lovi 
34,A,Cued,Above,Nonword,thaft 
35,A,Cued,Above,Nonword,wousel 
36,A,Cued,Above,Nonword,sid 
37,A,Cued,Above,Nonword,calligy
38,A,Cued,Above,Nonword,picen 
39,A,Cued,Above,Nonword,ketchan
40,A,Cued,Above,Nonword,trenkit 
41,A,Cued,Above,Nonword,grawths
42,A,Cued,Above,Nonword,deme
43,A,Cued,Above,Nonword,bilts
44,A,Cued,Above,Nonword,offesh
45,A,Cued,Above,Nonword,libstur
46,A,Cued,Above,Nonword,claek
47,A,Cued,Above,Nonword,fow 
48,A,Cued,Above,Nonword,furist
49,A,Cued,Above,Nonword,scullap 
50,A,Cued,Above,Nonword,brafe
51,A,Cued,Above,Nonword,realt 
52,A,Cued,Above,Nonword,cleef
53,A,Cued,Above,Nonword,floot
54,A,Cued,Above,Nonword,frickle
55,A,Cued,Above,Nonword,shois
56,A,Cued,Above,Nonword,farnt
57,A,Cued,Above,Nonword,winfot
58,A,Cued,Above,Nonword,deg
59,A,Cued,Above,Nonword,sula 
60,A,Cued,Above,Nonword,manef
61,A,Cued,Above,Nonword,hirse
62,A,Cued,Above,Nonword,litenst
63,A,Cued,Above,Nonword,hirest
64,A,Cued,Above,Nonword,catulf
65,B,Uncued,Above,HighFQ,walls 
66,B,Uncued,Above,HighFQ,paper 
67,B,Uncued,Above,HighFQ,dog 
68,B,Uncued,Above,HighFQ,friends 
69,B,Uncued,Above,HighFQ,glass 
70,B,Uncued,Above,HighFQ,water 
71,B,Uncued,Above,HighFQ,college 
72,B,Uncued,Above,HighFQ,garden 
73,B,Uncued,Above,HighFQ,world 
74,B,Uncued,Above,HighFQ,office 
75,B,Uncued,Above,HighFQ,oil 
76,B,Uncued,Above,HighFQ,home 
77,B,Uncued,Above,HighFQ,town 
78,B,Uncued,Above,HighFQ,license 
79,B,Uncued,Above,HighFQ,seeds 
80,B,Uncued,Above,HighFQ,trees 
81,B,Uncued,Above,LowFQ,silo 
82,B,Uncued,Above,LowFQ,wharf 
83,B,Uncued,Above,LowFQ,gem 
84,B,Uncued,Above,LowFQ,trinket 
85,B,Uncued,Above,LowFQ,maggots 
86,B,Uncued,Above,LowFQ,crate 
87,B,Uncued,Above,LowFQ,haddock 
88,B,Uncued,Above,LowFQ,weasel 
89,B,Uncued,Above,LowFQ,baron 
90,B,Uncued,Above,LowFQ,rafter 
91,B,Uncued,Above,LowFQ,beaker 
92,B,Uncued,Above,LowFQ,pan 
93,B,Uncued,Above,LowFQ,pebbles 
94,B,Uncued,Above,LowFQ,tunic 
95,B,Uncued,Above,LowFQ,banjo 
96,B,Uncued,Above,LowFQ,kelp 
97,B,Uncued,Above,Nonword,burif
98,B,Uncued,Above,Nonword,bines
99,B,Uncued,Above,Nonword,vellast
100,B,Uncued,Above,Nonword,riteng 
101,B,Uncued,Above,Nonword,cag
102,B,Uncued,Above,Nonword,doot
103,B,Uncued,Above,Nonword,mathir
104,B,Uncued,Above,Nonword,turpado 
105,B,Uncued,Above,Nonword,quirtz 
106,B,Uncued,Above,Nonword,senipor
107,B,Uncued,Above,Nonword,whurf 
108,B,Uncued,Above,Nonword,coasin
109,B,Uncued,Above,Nonword,bigfur
110,B,Uncued,Above,Nonword,budis
111,B,Uncued,Above,Nonword,strent
112,B,Uncued,Above,Nonword,patice
113,B,Uncued,Above,Nonword,sible 
114,B,Uncued,Above,Nonword,gizalle
115,B,Uncued,Above,Nonword,kev
116,B,Uncued,Above,Nonword,grish
117,B,Uncued,Above,Nonword,mulin 
118,B,Uncued,Above,Nonword,coffet
119,B,Uncued,Above,Nonword,nyluf 
120,B,Uncued,Above,Nonword,tawn
121,B,Uncued,Above,Nonword,gom
122,B,Uncued,Above,Nonword,tonsue
123,B,Uncued,Above,Nonword,redit
124,B,Uncued,Above,Nonword,teent
125,B,Uncued,Above,Nonword,rucoan 
126,B,Uncued,Above,Nonword,ravit 
127,B,Uncued,Above,Nonword,rivene 
128,B,Uncued,Above,Nonword,wirlf
129,C,Cued,Below,HighFQ,fire 
130,C,Cued,Below,HighFQ,feet 
