#,Set,Cue,Location,Descrip,Item
1,D,Cued,Above,HighFQ,money 
2,D,Cued,Above,HighFQ,bills 
3,D,Cued,Above,HighFQ,square 
4,D,Cued,Above,HighFQ,coffee 
5,D,Cued,Above,HighFQ,cattle 
6,D,Cued,Above,HighFQ,yellow 
7,D,Cued,Above,HighFQ,grass 
8,D,Cued,Above,HighFQ,plane 
9,D,Cued,Above,HighFQ,bones 
10,D,Cued,Above,HighFQ,heart 
11,D,Cued,Above,HighFQ,shoes 
12,D,Cued,Above,HighFQ,man 
13,D,Cued,Above,HighFQ,car 
14,D,Cued,Above,HighFQ,radio 
15,D,Cued,Above,HighFQ,growths 
16,D,Cued,Above,HighFQ,market 
17,D,Cued,Above,LowFQ,hanger 
18,D,Cued,Above,LowFQ,ladle 
19,D,Cued,Above,LowFQ,retina 
20,D,Cued,Above,LowFQ,sequin 
21,D,Cued,Above,LowFQ,ferns 
22,D,Cued,Above,LowFQ,rudder 
23,D,Cued,Above,LowFQ,elk 
24,D,Cued,Above,LowFQ,gasket 
25,D,Cued,Above,LowFQ,lapel 
26,D,Cued,Above,LowFQ,quartz 
27,D,Cued,Above,LowFQ,torpedo 
28,D,Cued,Above,LowFQ,freckle 
29,D,Cued,Above,LowFQ,shack 
30,D,Cued,Above,LowFQ,snail 
31,D,Cued,Above,LowFQ,armpit 
32,D,Cued,Above,LowFQ,raccoon 
33,D,Cued,Above,Nonword,pilvus 
34,D,Cued,Above,Nonword,crefe
35,D,Cued,Above,Nonword,tanic 
36,D,Cued,Above,Nonword,michane
37,D,Cued,Above,Nonword,bloof
38,D,Cued,Above,Nonword,kalf
39,D,Cued,Above,Nonword,rebits 
40,D,Cued,Above,Nonword,cothin
41,D,Cued,Above,Nonword,pon 
42,D,Cued,Above,Nonword,cathain
43,D,Cued,Above,Nonword,ificle
44,D,Cued,Above,Nonword,hengar
45,D,Cued,Above,Nonword,miggets 
46,D,Cued,Above,Nonword,pline
47,D,Cued,Above,Nonword,lufle
48,D,Cued,Above,Nonword,hoart
49,D,Cued,Above,Nonword,sneel 
50,D,Cued,Above,Nonword,hudduck 
51,D,Cued,Above,Nonword,walis
52,D,Cued,Above,Nonword,fure
53,D,Cued,Above,Nonword,witur
54,D,Cued,Above,Nonword,bueker
55,D,Cued,Above,Nonword,irmpat
56,D,Cued,Above,Nonword,fulin
57,D,Cued,Above,Nonword,valbey
58,D,Cued,Above,Nonword,mirkat
59,D,Cued,Above,Nonword,sedis
60,D,Cued,Above,Nonword,islunt
61,D,Cued,Above,Nonword,checkat
62,D,Cued,Above,Nonword,pabbles 
63,D,Cued,Above,Nonword,moath
64,D,Cued,Above,Nonword,trustle 
65,A,Uncued,Above,HighFQ,window 
66,A,Uncued,Above,HighFQ,forest 
67,A,Uncued,Above,HighFQ,island 
68,A,Uncued,Above,HighFQ,mouth 
69,A,Uncued,Above,HighFQ,bread 
70,A,Uncued,Above,HighFQ,key 
71,A,Uncued,Above,HighFQ,cotton 
72,A,Uncued,Above,HighFQ,teeth 
73,A,Uncued,Above,HighFQ,engine 
74,A,Uncued,Above,HighFQ,floor 
75,A,Uncued,Above,HighFQ,palace 
76,A,Uncued,Above,HighFQ,animals 
77,A,Uncued,Above,HighFQ,teacher 
78,A,Uncued,Above,HighFQ,village 
79,A,Uncued,Above,HighFQ,birds 
80,A,Uncued,Above,HighFQ,chicken 
81,A,Uncued,Above,LowFQ,robots 
82,A,Uncued,Above,LowFQ,sable 
83,A,Uncued,Above,LowFQ,pelvis 
84,A,Uncued,Above,LowFQ,icicle 
85,A,Uncued,Above,LowFQ,cloak 
86,A,Uncued,Above,LowFQ,lobster 
87,A,Uncued,Above,LowFQ,jewels 
88,A,Uncued,Above,LowFQ,trestle 
89,A,Uncued,Above,LowFQ,gazelle 
90,A,Uncued,Above,LowFQ,skates 
91,A,Uncued,Above,LowFQ,lava 
92,A,Uncued,Above,LowFQ,melon 
93,A,Uncued,Above,LowFQ,scallop 
94,A,Uncued,Above,LowFQ,beggar 
95,A,Uncued,Above,LowFQ,navel 
96,A,Uncued,Above,LowFQ,malt 
97,A,Uncued,Above,Nonword,lovi 
98,A,Uncued,Above,Nonword,thaft 
99,A,Uncued,Above,Nonword,wousel 
100,A,Uncued,Above,Nonword,sid 
101,A,Uncued,Above,Nonword,calligy
102,A,Uncued,Above,Nonword,picen 
103,A,Uncued,Above,Nonword,ketchan
104,A,Uncued,Above,Nonword,trenkit 
105,A,Uncued,Above,Nonword,grawths
106,A,Uncued,Above,Nonword,deme
107,A,Uncued,Above,Nonword,bilts
108,A,Uncued,Above,Nonword,offesh
109,A,Uncued,Above,Nonword,libstur
110,A,Uncued,Above,Nonword,claek
111,A,Uncued,Above,Nonword,fow 
112,A,Uncued,Above,Nonword,furist
113,A,Uncued,Above,Nonword,scullap 
114,A,Uncued,Above,Nonword,brafe
115,A,Uncued,Above,Nonword,realt 
116,A,Uncued,Above,Nonword,cleef
117,A,Uncued,Above,Nonword,floot
118,A,Uncued,Above,Nonword,frickle
119,A,Uncued,Above,Nonword,shois
120,A,Uncued,Above,Nonword,farnt
121,A,Uncued,Above,Nonword,winfot
122,A,Uncued,Above,Nonword,deg
123,A,Uncued,Above,Nonword,sula 
124,A,Uncued,Above,Nonword,manef
125,A,Uncued,Above,Nonword,hirse
126,A,Uncued,Above,Nonword,litenst
127,A,Uncued,Above,Nonword,hirest
128,A,Uncued,Above,Nonword,catulf
129,B,Cued,Below,HighFQ,walls 
130,B,Cued,Below,HighFQ,paper 
131,B,Cued,Below,HighFQ,dog 
132,B,Cued,Below,HighFQ,friends 
133,B,Cued,Below,HighFQ,glass 
134,B,Cued,Below,HighFQ,water 
135,B,Cued,Below,HighFQ,college 
136,B,Cued,Below,HighFQ,garden 
137,B,Cued,Below,HighFQ,world 
138,B,Cued,Below,HighFQ,office 
139,B,Cued,Below,HighFQ,oil 
140,B,Cued,Below,HighFQ,home 
141,B,Cued,Below,HighFQ,town 
142,B,Cued,Below,HighFQ,license 
143,B,Cued,Below,HighFQ,seeds 
144,B,Cued,Below,HighFQ,trees 
145,B,Cued,Below,LowFQ,silo 
146,B,Cued,Below,LowFQ,wharf 
147,B,Cued,Below,LowFQ,gem 
148,B,Cued,Below,LowFQ,trinket 
149,B,Cued,Below,LowFQ,maggots 
150,B,Cued,Below,LowFQ,crate 
151,B,Cued,Below,LowFQ,haddock 
152,B,Cued,Below,LowFQ,weasel 
153,B,Cued,Below,LowFQ,baron 
154,B,Cued,Below,LowFQ,rafter 
155,B,Cued,Below,LowFQ,beaker 
156,B,Cued,Below,LowFQ,pan 
157,B,Cued,Below,LowFQ,pebbles 
158,B,Cued,Below,LowFQ,tunic 
159,B,Cued,Below,LowFQ,banjo 
160,B,Cued,Below,LowFQ,kelp 
161,B,Cued,Below,Nonword,burif
162,B,Cued,Below,Nonword,bines
163,B,Cued,Below,Nonword,vellast
164,B,Cued,Below,Nonword,riteng 
165,B,Cued,Below,Nonword,cag
166,B,Cued,Below,Nonword,doot
167,B,Cued,Below,Nonword,mathir
168,B,Cued,Below,Nonword,turpado 
169,B,Cued,Below,Nonword,quirtz 
170,B,Cued,Below,Nonword,senipor
171,B,Cued,Below,Nonword,whurf 
172,B,Cued,Below,Nonword,coasin
173,B,Cued,Below,Nonword,bigfur
174,B,Cued,Below,Nonword,budis
175,B,Cued,Below,Nonword,strent
176,B,Cued,Below,Nonword,patice
177,B,Cued,Below,Nonword,sible 
178,B,Cued,Below,Nonword,gizalle
179,B,Cued,Below,Nonword,kev
180,B,Cued,Below,Nonword,grish
181,B,Cued,Below,Nonword,mulin 
182,B,Cued,Below,Nonword,coffet
183,B,Cued,Below,Nonword,nyluf 
184,B,Cued,Below,Nonword,tawn
185,B,Cued,Below,Nonword,gom
186,B,Cued,Below,Nonword,tonsue
187,B,Cued,Below,Nonword,redit
188,B,Cued,Below,Nonword,teent
189,B,Cued,Below,Nonword,rucoan 
190,B,Cued,Below,Nonword,ravit 
191,B,Cued,Below,Nonword,rivene 
192,B,Cued,Below,Nonword,wirlf
193,C,Uncued,Below,HighFQ,fire 
194,C,Uncued,Below,HighFQ,feet 
195,C,Uncued,Below,HighFQ,door 
196,C,Uncued,Below,HighFQ,machine 
197,C,Uncued,Below,HighFQ,horse 
198,C,Uncued,Below,HighFQ,tongue 
199,C,Uncued,Below,HighFQ,kitchen 
200,C,Uncued,Below,HighFQ,senator 
201,C,Uncued,Below,HighFQ,captain 
202,C,Uncued,Below,HighFQ,blood 
203,C,Uncued,Below,HighFQ,mother 
204,C,Uncued,Below,HighFQ,street 
205,C,Uncued,Below,HighFQ,letter 
206,C,Uncued,Below,HighFQ,plants 
207,C,Uncued,Below,HighFQ,cousin 
208,C,Uncued,Below,HighFQ,valley 
209,C,Uncued,Below,LowFQ,parcel 
210,C,Uncued,Below,LowFQ,sod 
211,C,Uncued,Below,LowFQ,dime 
212,C,Uncued,Below,LowFQ,pew 
213,C,Uncued,Below,LowFQ,thugs 
214,C,Uncued,Below,LowFQ,nylon 
215,C,Uncued,Below,LowFQ,pecan 
216,C,Uncued,Below,LowFQ,ravine 
217,C,Uncued,Below,LowFQ,hearse 
218,C,Uncued,Below,LowFQ,cashews 
219,C,Uncued,Below,LowFQ,rivet 
220,C,Uncued,Below,LowFQ,cleat 
221,C,Uncued,Below,LowFQ,reels 
222,C,Uncued,Below,LowFQ,beets 
223,C,Uncued,Below,LowFQ,hornets 
224,C,Uncued,Below,LowFQ,felon 
225,C,Uncued,Below,Nonword,riddur 
226,C,Uncued,Below,Nonword,nival 
227,C,Uncued,Below,Nonword,jawels
228,C,Uncued,Below,Nonword,reftar 
229,C,Uncued,Below,Nonword,beebs
230,C,Uncued,Below,Nonword,binji
231,C,Uncued,Below,Nonword,shict 
232,C,Uncued,Below,Nonword,sketes 
233,C,Uncued,Below,Nonword,glust
234,C,Uncued,Below,Nonword,frundis
235,C,Uncued,Below,Nonword,lethir
236,C,Uncued,Below,Nonword,cushows
237,C,Uncued,Below,Nonword,trene
238,C,Uncued,Below,Nonword,hurnits
239,C,Uncued,Below,Nonword,squort
240,C,Uncued,Below,Nonword,han
241,C,Uncued,Below,Nonword,guskit
242,C,Uncued,Below,Nonword,anivils
243,C,Uncued,Below,Nonword,fuet
244,C,Uncued,Below,Nonword,enguin
245,C,Uncued,Below,Nonword,yalfow
246,C,Uncued,Below,Nonword,ool
247,C,Uncued,Below,Nonword,garpin
248,C,Uncued,Below,Nonword,lipel 
249,C,Uncued,Below,Nonword,melf 
250,C,Uncued,Below,Nonword,hame
251,C,Uncued,Below,Nonword,soquin 
252,C,Uncued,Below,Nonword,elp
253,C,Uncued,Below,Nonword,pircal 
254,C,Uncued,Below,Nonword,teeshir
255,C,Uncued,Below,Nonword,pupir
256,C,Uncued,Below,Nonword,plints
